mu_type,sampling_config,use_adaptive,blob_ratio,boundary_ratio,allow_replacement,neurons,mse,r2,blob_r2,blob_mse,background_r2,background_mse
constant_5000,uniform,False,0.0,0.0,False,100,3.786219167523086e-05,0.5080572879083534,,,0.5079589188098907,3.786219e-05
constant_5000,uniform,False,0.0,0.0,False,500,1.7336736846118583e-06,0.9774744118986695,,,0.9774699043482542,1.7336739e-06
constant_5000,uniform,False,0.0,0.0,False,1000,1.6279556120935013e-06,0.978848004736556,,,0.9788437746465206,1.6279556e-06
constant_5000,uniform,False,0.0,0.0,False,10000,1.5264009789461852e-06,0.9801675020885449,,,0.980163536965847,1.5264009e-06
heterogeneous,uniform,False,0.0,0.0,False,100,3.596709939301945e-05,0.5326801846749163,-0.7903947830200195,2.0087838493054733e-05,0.5311521291732788,3.692336e-05
heterogeneous,uniform,False,0.0,0.0,False,500,7.161419830481464e-07,0.990695181293114,0.7806727588176727,2.4608036710560555e-06,0.9922406189143658,6.110776e-07
heterogeneous,uniform,False,0.0,0.0,False,1000,6.22414916051639e-07,0.9919129752319898,0.814276859164238,2.083773097183439e-06,0.9932141192257404,5.3441113e-07
heterogeneous,uniform,False,0.0,0.0,False,10000,4.915499403068679e-07,0.9936133012891264,0.8602308481931686,1.568179300193151e-06,0.9945816327817738,4.267148e-07
constant_5000,adaptive_5_25_70_repl,True,0.05,0.25,True,100,3.209405258530751e-05,0.5614641440808382,,,0.5613764524459839,3.2094053e-05
constant_5000,adaptive_5_25_70_repl,True,0.05,0.25,True,500,1.6089178416223149e-06,0.9780156101849706,,,0.9780112132430077,1.6089178e-06
constant_5000,adaptive_5_25_70_repl,True,0.05,0.25,True,1000,1.511828827460704e-06,0.9793422427070723,,,0.9793381094932556,1.5118289e-06
constant_5000,adaptive_5_25_70_repl,True,0.05,0.25,True,10000,1.4464283140114276e-06,0.9802358808684356,,,0.9802319277077913,1.4464283e-06
heterogeneous,adaptive_5_25_70_repl,True,0.05,0.25,True,100,3.055371780646965e-05,0.5825114091105263,-0.055001139640808105,7.574966730317101e-06,0.5684518218040466,3.3782482e-05
heterogeneous,adaptive_5_25_70_repl,True,0.05,0.25,True,500,8.543968874619168e-07,0.9883254484817131,0.7724720388650894,1.6336633734681527e-06,0.9904843913391232,7.4490146e-07
heterogeneous,adaptive_5_25_70_repl,True,0.05,0.25,True,1000,7.230341338981816e-07,0.9901204002852241,0.8035248816013336,1.4107022252574097e-06,0.9919980484992266,6.2640925e-07
heterogeneous,adaptive_5_25_70_repl,True,0.05,0.25,True,10000,5.834236276314186e-07,0.9920280500810317,0.8452064692974091,1.1114261724287644e-06,0.9934948887676001,5.0923353e-07
constant_5000,adaptive_10_20_70_repl,True,0.1,0.2,True,100,3.164527879562229e-05,0.5584309021025553,,,0.5583425760269165,3.164528e-05
constant_5000,adaptive_10_20_70_repl,True,0.1,0.2,True,500,1.5542107121291338e-06,0.978312991756851,,,0.9783086534589529,1.5542107e-06
constant_5000,adaptive_10_20_70_repl,True,0.1,0.2,True,1000,1.4547269984177547e-06,0.9797011588197084,,,0.979697098955512,1.4547269e-06
constant_5000,adaptive_10_20_70_repl,True,0.1,0.2,True,10000,1.398919948769617e-06,0.9804798743029437,,,0.9804759696125984,1.39892e-06
heterogeneous,adaptive_10_20_70_repl,True,0.1,0.2,True,100,3.0153480111039244e-05,0.5792470309049047,0.1856643557548523,4.370548140286701e-06,0.5512900650501251,3.5064513e-05
heterogeneous,adaptive_10_20_70_repl,True,0.1,0.2,True,500,7.964371775415202e-07,0.98888674521434,0.7671538144350052,1.2496878980527981e-06,0.9909130176529288,7.1010373e-07
heterogeneous,adaptive_10_20_70_repl,True,0.1,0.2,True,1000,6.7894632138632e-07,0.9905261787519212,0.8028679192066193,1.0580099569779122e-06,0.9922356843017042,6.0674375e-07
heterogeneous,adaptive_10_20_70_repl,True,0.1,0.2,True,10000,5.516295686902595e-07,0.9923027200173123,0.8455516397953033,8.289259767479962e-07,0.9936168645508587,4.988112e-07
constant_5000,adaptive_20_10_70_repl,True,0.2,0.1,True,100,3.2245214242720976e-05,0.5294516090705897,,,0.529357522726059,3.2245214e-05
constant_5000,adaptive_20_10_70_repl,True,0.2,0.1,True,500,1.302280907111708e-06,0.9809960578718178,,,0.9809922557324171,1.302281e-06
constant_5000,adaptive_20_10_70_repl,True,0.2,0.1,True,1000,1.2443633750081062e-06,0.9818412376040041,,,0.9818376079201698,1.2443633e-06
constant_5000,adaptive_20_10_70_repl,True,0.2,0.1,True,10000,1.2004231848550262e-06,0.9824824485948205,,,0.9824789464473724,1.2004232e-06
heterogeneous,adaptive_20_10_70_repl,True,0.2,0.1,True,100,3.067883153562434e-05,0.5523095394554176,0.16662156581878662,2.6818156584340613e-06,0.4968980550765991,3.8928607e-05
heterogeneous,adaptive_20_10_70_repl,True,0.2,0.1,True,500,5.333824333320081e-07,0.9922164497383965,0.7800837755203247,7.076914130266232e-07,0.9937705215997994,4.8201946e-07
heterogeneous,adaptive_20_10_70_repl,True,0.2,0.1,True,1000,4.675983120705496e-07,0.99317642513739,0.8184032440185547,5.843792223458877e-07,0.994401618372649,4.3318695e-07
heterogeneous,adaptive_20_10_70_repl,True,0.2,0.1,True,10000,4.2134439581786864e-07,0.9938513999011813,0.8465930074453354,4.936644018016523e-07,0.994830075185746,4.0003417e-07
constant_5000,adaptive_5_25_70_noRepl,True,0.05,0.25,False,100,3.209405258530751e-05,0.5614641440808382,,,0.5613764524459839,3.2094053e-05
constant_5000,adaptive_5_25_70_noRepl,True,0.05,0.25,False,500,1.6089178416223149e-06,0.9780156101849706,,,0.9780112132430077,1.6089178e-06
constant_5000,adaptive_5_25_70_noRepl,True,0.05,0.25,False,1000,1.511828827460704e-06,0.9793422427070723,,,0.9793381094932556,1.5118289e-06
constant_5000,adaptive_5_25_70_noRepl,True,0.05,0.25,False,10000,1.4464283140114276e-06,0.9802358808684356,,,0.9802319277077913,1.4464283e-06
heterogeneous,adaptive_5_25_70_noRepl,True,0.05,0.25,False,100,3.055371780646965e-05,0.5825114091105263,-0.055001139640808105,7.574966730317101e-06,0.5684518218040466,3.3782482e-05
heterogeneous,adaptive_5_25_70_noRepl,True,0.05,0.25,False,500,8.543968874619168e-07,0.9883254484817131,0.7724720388650894,1.6336633734681527e-06,0.9904843913391232,7.4490146e-07
heterogeneous,adaptive_5_25_70_noRepl,True,0.05,0.25,False,1000,7.230341338981816e-07,0.9901204002852241,0.8035248816013336,1.4107022252574097e-06,0.9919980484992266,6.2640925e-07
heterogeneous,adaptive_5_25_70_noRepl,True,0.05,0.25,False,10000,5.834236276314186e-07,0.9920280500810317,0.8452064692974091,1.1114261724287644e-06,0.9934948887676001,5.0923353e-07
constant_5000,adaptive_10_20_70_noRepl,True,0.1,0.2,False,100,3.164527879562229e-05,0.5584309021025553,,,0.5583425760269165,3.164528e-05
constant_5000,adaptive_10_20_70_noRepl,True,0.1,0.2,False,500,1.5542107121291338e-06,0.978312991756851,,,0.9783086534589529,1.5542107e-06
constant_5000,adaptive_10_20_70_noRepl,True,0.1,0.2,False,1000,1.4547269984177547e-06,0.9797011588197084,,,0.979697098955512,1.4547269e-06
constant_5000,adaptive_10_20_70_noRepl,True,0.1,0.2,False,10000,1.398919948769617e-06,0.9804798743029437,,,0.9804759696125984,1.39892e-06
heterogeneous,adaptive_10_20_70_noRepl,True,0.1,0.2,False,100,3.0153480111039244e-05,0.5792470309049047,0.1856643557548523,4.370548140286701e-06,0.5512900650501251,3.5064513e-05
heterogeneous,adaptive_10_20_70_noRepl,True,0.1,0.2,False,500,7.964371775415202e-07,0.98888674521434,0.7671538144350052,1.2496878980527981e-06,0.9909130176529288,7.1010373e-07
heterogeneous,adaptive_10_20_70_noRepl,True,0.1,0.2,False,1000,6.7894632138632e-07,0.9905261787519212,0.8028679192066193,1.0580099569779122e-06,0.9922356843017042,6.0674375e-07
heterogeneous,adaptive_10_20_70_noRepl,True,0.1,0.2,False,10000,5.516295686902595e-07,0.9923027200173123,0.8455516397953033,8.289259767479962e-07,0.9936168645508587,4.988112e-07
constant_5000,adaptive_20_10_70_noRepl,True,0.2,0.1,False,100,3.085550997639075e-05,0.5551194607993091,,,0.5550303757190704,3.0855514e-05
constant_5000,adaptive_20_10_70_noRepl,True,0.2,0.1,False,500,1.4417496458918322e-06,0.9792125827656863,,,0.9792084228247404,1.4417496e-06
constant_5000,adaptive_20_10_70_noRepl,True,0.2,0.1,False,1000,1.354398136754753e-06,0.9804720332338404,,,0.9804681278765202,1.354398e-06
constant_5000,adaptive_20_10_70_noRepl,True,0.2,0.1,False,10000,1.320969317930576e-06,0.9809540162234173,,,0.9809502046555281,1.3209693e-06
heterogeneous,adaptive_20_10_70_noRepl,True,0.2,0.1,False,100,2.8991558792768046e-05,0.5819942591172863,0.24207419157028198,2.3399938982038293e-06,0.53111132979393,3.66671e-05
heterogeneous,adaptive_20_10_70_noRepl,True,0.2,0.1,False,500,6.287556857387244e-07,0.9909344824081348,0.760437086224556,7.396182013508223e-07,0.9923679335042834,5.968277e-07
heterogeneous,adaptive_20_10_70_noRepl,True,0.2,0.1,False,1000,5.455664791043091e-07,0.9921339200168962,0.802352249622345,6.102108045524801e-07,0.9932615207508206,5.269492e-07
heterogeneous,adaptive_20_10_70_noRepl,True,0.2,0.1,False,10000,4.597909821768553e-07,0.9933706472449502,0.8448583483695984,4.789789613823814e-07,0.9941909871995449,4.542649e-07
